TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1668769388040;-0.6067448;-0.14228973;1.2371639;-1.8705401;3.363535;22.399126;43.78847557;4.831829577;7.7838826;0
1668769388050;-0.13569997;-0.093964905;1.165897;0.29946002;4.063535;20.264126;43.78847557;4.831829577;7.7838826;0
1668769388060;-0.36463267;-0.036853768;0.9872417;1.73446;0.21353501;15.7491255;43.78847557;4.831829577;7.7838826;0
1668769388070;-0.077368505;-0.13960502;0.71657395;1.9794601;-0.80146503;12.354125;43.78847557;4.831829577;7.7838826;0
1668769388080;0.9916349;-0.12715772;0.9118258;3.23946;-3.111465;11.269125;43.78847557;4.831829577;7.7838826;0
1668769388090;0.11861545;-0.15986237;0.95795393;1.69946;-3.706465;12.389125;43.78847557;4.831829577;7.7838826;0
1668769388100;-0.7307297;0.03221654;1.1117147;2.85446;-6.5064645;12.074125;43.78847557;4.831829577;7.7838826;0
1668769388110;-0.8408029;-0.044907905;1.161748;2.0144598;-2.446465;7.524125;43.78847557;4.831829577;7.7838826;0
1668769388120;0.15400483;-0.045884162;0.77832234;3.7994602;0.45853505;5.0391254;43.78847557;4.831829577;7.7838826;0
1668769388130;-0.13765249;0.045640096;0.9372085;4.18446;3.538535;5.0391254;43.78847557;4.831829577;7.7838826;0
1668769388139;0.26163736;-0.04466384;0.92061204;3.7994602;-0.871465;1.119125;43.78847557;4.831829577;7.7838826;0
1668769388150;0.46591952;-0.09298865;0.9437982;4.04446;-2.901465;1.119125;43.78847557;4.831829577;7.7838826;0
1668769388160;-0.32899922;0.10934099;0.90352756;5.05946;-1.886465;1.539125;43.78847557;4.831829577;7.7838826;0
1668769388170;-0.7446414;0.08273793;1.1473482;3.62446;0.318535;-5.005875;43.78847557;4.831829577;7.7838826;0
1668769388181;-0.1535167;0.045640096;0.98358077;3.23946;0.913535;-3.4658751;43.78847557;4.831829577;7.7838826;0
1668769388190;-0.050277326;0.04734855;0.94306606;2.78446;-0.90646505;-3.500875;43.78847557;4.831829577;7.7838826;0
1668769388200;0.67313045;-0.11983577;0.83860636;3.72946;4.378535;-6.650875;43.78847557;4.831829577;7.7838826;0
1668769388210;0.005857553;0.09225646;0.9662522;3.37946;-3.356465;-5.320875;43.78847557;4.831829577;7.7838826;0
1668769388220;-0.025626794;0.09713775;0.8788769;2.46946;-4.0214653;-3.9908748;43.78847557;4.831829577;7.7838826;0
1668769388230;0.48495653;0.082249805;1.0951183;1.27946;-2.6564648;-5.320875;43.78847557;4.831829577;7.7838826;0
1668769388240;-0.025382727;0.08908362;0.8749719;0.71946;-2.201465;0.594125;43.78847557;4.831829577;7.7838826;0
1668769388250;-0.24601722;0.11739512;0.9686928;-0.99553996;-4.2664647;1.0841249;43.78847557;4.831829577;7.7838826;0
1668769388260;-0.19818054;0.08835142;1.0724204;-2.6405401;-0.73146504;2.2741249;43.78847557;4.831829577;7.7838826;0
1668769388270;-0.30312836;-0.06443308;0.9801639;-2.85054;-0.311465;3.324125;43.78847557;4.831829577;7.7838826;0
1668769388280;0.026603052;0.040758807;0.86447716;-2.67554;-2.586465;5.4941254;43.78847557;4.831829577;7.7838826;0
1668769388290;0.21062784;-0.050765455;1.1014639;-3.48054;-3.5664651;7.524125;43.78847557;4.831829577;7.7838826;0
1668769388300;0.17914349;0.010006652;0.9745503;-3.6205404;1.788535;17.079124;43.78847557;4.831829577;7.7838826;0
1668769388310;-0.37244272;-0.04734855;1.097803;-5.0205398;0.528535;17.989124;43.78847557;4.831829577;7.7838826;0
1668769388320;-0.5759927;-0.091524266;0.9999331;-4.9155397;2.908535;15.259124;43.78847557;4.831829577;7.7838826;0
